,Category,Label,text
0,Poor service,4,"@VZWSupport Give me a working phone without having me jump through hurdles! if being a #verizon #Customer means going through such bs, take your phone and rip up my contact! #CustomerService"
1,Poor service,4,"@verizon, my daughter and I both have #Verizon and we keep having our calls fail when we talk to each. ?????????? Do you have any suggestions? This is ridiculous. #callfail #dropcalls #needhelp #myservicesucks #ipaytoomuchmoney"
2,Poor service,4,Verizon  customer service is the worst. I dread having to ever contact them. But several days without wifi is reason to finally call them. This treatment is disturbing. #verizon
3,Happy Customer,2,I love having Verizon. I get service just about anywhere! @VZWSupport @VZWNow #Verizon
4,Happy Customer,2,Great service from @VZWSupport and @SamsungSupport tonight! Really quality customer service showing they care about the people that use their product. @verizon @SamsungMobileUS
5,Poor service,4,Verizon charged my account twice now telling me I have to wait a week to get my money back ? Y’all are messing with my budget
6,Potential New Customer,5,LG U IS Ass af and I can’t wait to get back on Verizon so I can be happy again. I can’t wait to get back to America PERIODT
7,Happy Customer,2,Verizon has the best customer service ngl. I’ve literally had every phone company out here and theirs weirdly amazing
8,Potential New Customer,5,"@VZWNow @TheeonlyJL Hey Verizon my ATT internet is horrible, it’s been horrible for years and a lot. We have a family phone plan with Verizon can you hook it up?"
9,Happy Customer,2,@BrockLesnarGuy @TMobile Verizon will never let u downAlways hear ppl telling me to switch to them but stories like this help me stay
10,Churning/Lost customer,1,"@jaaaaaanettt @TMobile We used to have Verizon and it sucked, that’s why we went to metro, but I upgraded to T-Mobile ?"
11,Poor service,4,@SpeakinTruthful @verizon The explanations were confusing af!
12,Happy Customer,2,@APoli1993 @TMobile Dude they suck ? I moved to Verizon from them
13,Poor service,4,"Screw @Verizon. 200+ a month for phones that never get service. Oh, and their customer service is terrible too. They respond, try to “fix” the issue, but nothing ever gets done. Buying out of our contract ASAP."
14,Poor service,4,@verizon Verizon sucks lies and should be out of business for the way it treats it customers
15,Poor service,4,@verizon I’m in Fort Lauderdale and have no signal. Extremely disappointed.
16,Poor service,4,I hate Verizon brooooo! And they swear ain’t nothing wrong with the signal in my ZIP Code. That’s bullshit
17,Churning/Lost customer,1,"@verizon So, are you guys going to give me a fair deal after 20 years of being a loyal customer or am I switching to @TMobile  tomorrow?"
18,Potential New Customer,5,"@verizon if I still have money to pay off on my AT&amp;T iPhone, can I still switch to Verizon?"
19,Poor service,4,I miss having Fios @verizon @VerizonSupport We just relocated and I think it’s ridiculous that it’s not available in our area.
20,Poor service,4,Verizon got some pooo ass service ..
21,Poor service,4,Years ago i signed up for that new iPhone every year thing with Verizon...still have a 6s. #waste
22,Poor service,4,@VerizonSupport @verizon #LowerMyBill #FixMyService #3MonthsPlusAndCounting #LostCount #StopChargingMeUntilYouFixMyService
23,Potential New Customer,5,Do not waste your money on ComCast they internet always goes down and goes out . they even shut off services over being a buck short. Services out in Fresno California again. Time to get At&amp;t are Verizon fios are anything better then comcast .
24,Poor service,4,@VerizonSupport @verizon but when I call Verizon you guys put me on hold when I need my phone lines open for my business!
25,Potential New Customer,5,Going to Verizon is my first move in the morning
26,Poor service,4,@VerizonSupport @verizon what’s the point of the chat when you guys can’t fix anything. 1)Earl tells me to contact a billing specialist!
27,Poor service,4,@VerizonSupport @verizon why are you still charging me!
28,Poor service,4,@VerizonSupport @verizon so it went from a March restore date to a 4/16 restore date today then right now it’s 5/7! Wtf
29,Poor service,4,@VerizonSupport @verizon why am I being charged 705 when your service has been fucked up for 3 months! And I’m also paying for call forwarding to my other service! Why!
30,Poor service,4,@VerizonSupport @verizon why does it take 3 months to fix my service! And why is my bill 705! And why would you have me go into a chat when nothing gets done
31,Happy Customer,2,Loving @verizon best service with all my devices ?
32,Potential New Customer,5,Switching to Verizon..
33,Churning/Lost customer,1,I’m a big fan of @Sprint after ten+ years under @Verizon thumb. Only good things in the future https://t.co/zvfjegNsy1
34,Poor service,4,Verizon is trash
35,Poor service,4,Ever wonder why there are so many @VZWNow @verizon @VZWSupport ? It’s because they all fuckin’ suck!!! Shady bitches! ????your company.
36,Poor service,4,"@verizon My phone bill is really high. Even with a military discount. It's my fault though. I live in a metropolitan area, so Verizon is pretty much unnecessary. Like, every provider has good service here. Anyway, I'm leaving when my contract is up."
37,Poor service,4,Fuck Verizon ?? @verizon
38,Poor service,4,Verizon sucking some big ass dick
39,Happy Customer,2,Finally got that unlimited data on verizon ?
40,Happy Customer,2,"Switched from T-Mobile to Verizon and now WiFi calling works at my house. Also, I’ll actually have cell service at my house, and everywhere else. Huge relief"
41,Potential New Customer,5,You need to get rid of the stupid only @ATT phones count policy. We're done with ATT.No reason to stay. We get stuck with tier 1 kids paid to pimp ATT phones.I have a call scheduled at 08:30 MST to move our phones to Verizon.@ATTCares
42,Poor service,4,Hello how
43,Poor service,4,Verizon put my screen protector on the slightest bit crooked and it’s haunted me ever since.
44,Poor service,4,@verizon @VerizonSupport @VZWSupport you suck!!
45,Poor service,4,Motherfuck!! @verizon
46,Poor service,4,I pay way too much for @Verizon for my service to be as crappy as it’s become. I need to go ahead and make the switch because this is ridiculous.
47,Poor service,4,@verizon they suspended my twitter account because I told the truth about your shitty business practices. But I'll just use instagram and the phone to let people know you are a piece of shit company with lousy customer service. Consider it a PSA...FUCK YO
48,Poor service,4,@verizon @VerizonSupport @VZWSupport Your company is pathetic and your customer service is worthless. FUCK YOU!! Placing your customers on hold for 45 mins is not service it's annoying you ass clowns!
49,Poor service,4,@verizon you fuckin' scumbags!
50,Poor service,4,@verizon fuckin' sucks! Come to @verizon if you want to experience SHITTY customer service.
51,Poor service,4,@RamblinRay890 @VerizonSupport @ATT I've been contemplating leaving Verizon also. Nothing but issues with my service lately. Not to mention the money I'm spending..
52,Poor service,4,@VZWSupport Question. My Verizon acct is linked to phone. Pay 1 bill. Go to store to change something. Told store can't do bc of link. Must cancel to do. True? Want linking discount.
53,Poor service,4,"Terrible, terrible customer service. Terrible. https://t.co/GhXqmx9vg5"
54,Poor service,4,"I should’ve never switched to Verizon, this phone bill is high asf."
55,Poor service,4,"Well @verizon, after troubleshooting one of my two cable boxes and telling me to return it, you deactivate the wrong one remotely before I can give you the correct serial number. 1-5 hours on tech support tonight. One broken box. One deactivated."
56,Happy Customer,2,@verizon I'm fine that after 15gbs on the jetpack it goes to 600kbps but if I see 245.64kbps again I'm going to flip out. Do to that 245.64kbps I lagged out of 2 competitive matches. #thanksverizon
57,Churning/Lost customer,1,"@SprintCTO Just switched from Verizon. How are the upgrades in South Texas coming along (Brownsville, Harlingen, McAllen and Mission) metros?"
58,Potential New Customer,5,@KyleKashuv @seanhannity And switch to @verizon
59,Poor service,4,I been on hold with Verizon fios for about 1 1/2 I’m posed the fuck off I can see me switching my service .... my patience has def ran out
60,Happy Customer,2,"@VZWSupport @VerizonSupport was really helpful in switching over my phones. A much more pleasant experience than calling, and you’re not on hold for ages. Thank you again Verizon. Much appreciated."
61,Happy Customer,2,@FatKidDeals looking for an iPhone 7. Either Verizon or unlocked.
62,Poor service,4,I fucking hate the Verizon guys face
63,Poor service,4,"If I could eliminate Spectrum and Verizon from my life, I'd be a much happier person."
64,Churning/Lost customer,1,Im sicc as hell I agreed to open &amp; close my Verizon store tomorrow ?
